nb_epochs,batch_size,lr,n_rec,delay_1,delay_2,init_sr,max_norm,bf_reg_factor,two_layer,with_heterogenous_thresholds,with_heterogenous_time_constants,momentum,test_only,sample_duration,bf_reg_factor_decay,noise_freq_hz,test_acc,exp_id,with_delays,with_bf_loss
1,16,0.001,216,25,61,1.25,0.1,0.0001,False,True,False,0.9,False,450,True,10,0.9584,f9c3b968197049a7b1421f742c46a4d9,True,True
1,16,0.001,216,0,0,1.25,0.1,0.0,False,True,False,0.9,False,450,True,10,0.1106,d58de8da67b340988a18f993c9011635,False,False
1,16,0.001,216,25,61,1.25,0.1,0.0001,False,True,False,0.9,False,400,True,10,0.9508,871fe3ea37ee4493bb1ce7790b795082,True,True
1,16,0.001,216,0,0,1.25,0.1,0.0,False,True,False,0.9,False,400,True,10,0.1121,aeaa9d7d146249449ffe7a2fb527d7d9,False,False
1,16,0.001,216,25,61,1.25,0.1,0.0001,False,True,False,0.9,False,350,False,10,0.9577,db9b945991484bcab451cb4f63f15f04,True,True
1,16,0.001,216,0,0,1.25,0.1,0.0,False,True,False,0.9,False,350,False,10,0.1135,5ed26603b2dd4c58bace728c6b1a4f5a,False,False
1,16,0.001,216,25,61,1.25,0.1,0.0001,False,True,False,0.9,False,300,False,10,0.9661,ff95ab7888af45fd93b53a2031685373,True,True
1,16,0.001,216,0,0,1.25,0.1,0.0,False,True,False,0.9,False,300,False,10,0.9172,023f1fbc9a894703a8f579365215f3b6,False,False
1,16,0.001,216,25,61,1.25,0.1,0.0001,False,True,False,0.9,False,500,False,10,0.1229,352b679ad2b44d7bb887dbf63d230d46,True,True
1,16,0.001,216,0,0,1.25,0.1,0.0,False,True,False,0.9,False,500,False,10,0.1118,e80ff86b7bf046ba8fb96d061fff0905,False,False
1,16,0.001,216,0,0,1.25,0.1,0.0001,False,True,False,0.9,False,350,False,10,0.1131,ea7bf62ed0254a9f952c207434ea36c4,False,True
1,16,0.001,216,25,61,1.25,0.1,0.0,False,True,False,0.9,False,350,False,10,0.9599,b885421407f7498982907e580c9b6bf1,True,False
1,16,0.001,216,0,0,1.25,0.1,0.0001,False,True,False,0.9,False,400,False,10,0.1146,af3fbd0729c642d6adcb5c25e2b936ac,False,True
1,16,0.001,216,25,61,1.25,0.1,0.0,False,True,False,0.9,False,400,False,10,0.9601,6d2c2d38d5084ed19ec6db652ae522df,True,False
1,16,0.001,216,0,0,1.25,0.1,0.0001,False,True,False,0.9,False,450,False,10,0.106,dcafb0692b2a4486a4f35b2e2373c786,False,True
1,16,0.001,216,25,61,1.25,0.1,0.0,False,True,False,0.9,False,450,False,10,0.0993,abf45a898531405998bfe2a3910a0ca2,True,False
1,16,0.001,216,0,0,1.25,0.1,0.0001,False,True,False,0.9,False,300,False,10,0.941,403d9034526c4a9db8d55267f230d6f8,False,True
1,16,0.001,216,25,61,1.25,0.1,0.0,False,True,False,0.9,False,300,False,10,0.9593,46fa71819e5d40499d4858ee381d758a,True,False
1,16,0.001,216,0,0,1.25,0.1,0.0001,False,True,False,0.9,False,500,False,10,0.1133,f60cff5649f04dec904763baab3f2a13,False,True
1,16,0.001,216,25,61,1.25,0.1,0.0,False,True,False,0.9,False,500,False,10,0.1009,567a9604609a4df2aec136678e4cd4e4,True,False
1,16,0.001,216,0,0,1.25,0.1,0.0,False,True,False,0.9,False,325,False,10,0.9454,d8a710194b39433199bacf7f6789d4b0,False,False
1,16,0.001,216,25,61,1.25,0.1,0.0001,False,True,False,0.9,False,475,False,10,0.0996,e324ddc7a07e403ab6e43e2e970c8361,True,True
1,16,0.001,216,25,61,1.25,0.1,0.0001,False,True,False,0.9,False,325,False,10,0.9569,11bf092a82484f10a4dd4df6bde4cb42,True,True
1,16,0.001,216,0,0,1.25,0.1,0.0001,False,True,False,0.9,False,325,False,10,0.9466,0efbb513b3e6421893920aa9b280c762,False,True
1,16,0.001,216,25,61,1.25,0.1,0.0,False,True,False,0.9,False,325,False,10,0.9605,1bcdc3a8b361470d93552a90d5151acd,True,False
1,16,0.001,216,25,61,1.25,0.1,0.0001,False,True,False,0.9,False,375,False,10,0.9589,fbce73171ce54cffa85527de4ee52e00,True,True
1,16,0.001,216,0,0,1.25,0.1,0.0001,False,True,False,0.9,False,375,False,10,0.1189,591ea18821ac4132888976441348fac5,False,True
1,16,0.001,216,25,61,1.25,0.1,0.0,False,True,False,0.9,False,375,False,10,0.9539,fefc346431ab4071bf73b0010b7a14a5,True,False
1,16,0.001,216,0,0,1.25,0.1,0.0,False,True,False,0.9,False,375,False,10,0.1139,c61a8caa764940cb9121cce2880d4f58,False,False
1,16,0.001,216,25,61,1.25,0.1,0.0001,False,True,False,0.9,False,425,False,10,0.937,9b32778ce24d4c0da46e83c74f8d9e6d,True,True
1,16,0.001,216,0,0,1.25,0.1,0.0001,False,True,False,0.9,False,425,False,10,0.1098,9900fea4db624fbdab74bb4dbfdf6d42,False,True
1,16,0.001,216,25,61,1.25,0.1,0.0,False,True,False,0.9,False,425,False,10,0.9483,9f4e8e9223d74521a7929b06962d95d9,True,False
1,16,0.001,216,0,0,1.25,0.1,0.0,False,True,False,0.9,False,425,False,10,0.1087,ac21ebbe09344d7d808801d3c3ff8bff,False,False
1,16,0.001,216,0,0,1.25,0.1,0.0001,False,True,False,0.9,False,475,False,10,0.1129,b3b3e0c5c20c4a99b866d1b14fec243a,False,True
1,16,0.001,216,25,61,1.25,0.1,0.0,False,True,False,0.9,False,475,False,10,0.1025,15d17cb10b9d4ac893ab9dd4fae8ed8b,True,False
1,16,0.001,216,0,0,1.25,0.1,0.0,False,True,False,0.9,False,475,False,10,0.1045,66ffa58df8eb4861ac39ab67825c139f,False,False
